ComAreaID,community,Pop2012,Pop2014,PopChng,PopM,PopMP,PopF,PopFP,Under5,Under5P,Under18,Under18P,Over18,Over18P,Over21,Over21P,Over65,Over65P,Wht14,Wht14P,Blk14,Blk14P,AI14,AI14P,AS14,AS14P,NHP14,NHP14P,Oth14,Oth14P,Hisp14,Hisp14P,Property_C,PropCrRt,Violent_C,VlntCrRt,PerCInc14,PPop14,Pov14,field_37,ChldPov14,NoHS14,HSGrad14,SmClg14,ClgGrad14,LaborFrc,Unemp14,Pov50,Pov50P,Pov125,Pov125P,Pov150,Pov150P,Pov185,Pov185P,Pov200,Pov200P,COIave,HISave,SESave,Hlitave,BirthRate,FertRate,LoBirthR,PrenScrn,PretBrth,TeenBirth,Assault,BrstCancr,CancerAll,Colorect,DiabetM,FirearmM,InfntMR,LungCancer,ProstateC,Stroke,ChlBLLS,ChlLeadP,GonorrF,GonorrM,Tuberc
11,JEFFERSON PARK,25448,26975,2.9128,13356,49.5125,13619,50.4875,1886,6.9917,5711,21.1715,21264,78.8285,20499,75.9926,4022,14.9101,22758,84.3670,653,2.4208,320,1.1863,2590,9.6015,59,0.2187,1568,5.8128,5374,19.9222,413,0.0153,252,0.0093,179572,26926,2383,8.8502,575,2589,5262,5323,6164,14616,1508,703,2.6109,3356,12.4638,4591,17.0504,6041,22.4356,6624,24.6008,0.2020,32.9287,64.4447,250.7191,13.8000,67,6,82,7.7000,28.6000,4.8000,18.4000,208.2000,23.2000,49.2000,4.2000,8.3000,55.7000,32.1000,41.9000,236.8000,0,0.0000,0.0000,7.1000
12,FOREST GLEN,18508,18478,-0.0811,8732,47.2562,9746,52.7438,1189,6.4347,4617,24.9865,13861,75.0135,13312,72.0424,3141,16.9986,14783,80.0032,70,0.3788,64,0.3464,2859,15.4725,41,0.2219,1242,6.7215,2357,12.7557,182,0.0098,78,0.0042,171274,18478,920,4.9789,182,607,2262,2481,7382,9438,584,455,2.4624,1352,7.3168,1844,9.9794,2580,13.9626,2885,15.6132,0.5859,27.5140,62.9436,250.7148,10.0000,60,7,79,10.3000,6.3000,3.3000,25.0000,138.7000,14.3000,37.2000,6.2000,3.8000,27.0000,20.3000,31.0000,160.8000,0,0.0000,0.0000,2.2000
13,NORTH PARK,17931,18058,0.3529,9001,49.8449,9057,50.1551,617,3.4168,3809,21.0931,14249,78.9069,13459,74.5321,3582,19.8361,11355,62.8807,913,5.0559,30,0.1661,4953,27.4283,6,0.0332,1655,9.1649,3864,21.3977,365,0.0202,166,0.0092,113091,17524,2169,12.3773,609,1463,2052,3156,5782,9107,923,648,3.6978,3326,18.9797,4165,23.7674,5490,31.3285,5842,33.3371,0.5103,33.5179,64.0169,249.7213,10.9000,54,9,79,10.2000,10.5000,3.0000,20.4000,143.7000,21.9000,58.9000,3.1000,5.4000,34.7000,14.6000,26.7000,317.3000,0,0.0000,0.0000,8.9000
14,ALBANY PARK,51542,52930,1.3286,27447,51.8553,25483,48.1447,4016,7.5874,12782,24.1489,40148,75.8511,37561,70.9635,4238,8.0068,29553,55.8341,2802,5.2938,242,0.4572,8144,15.3864,115,0.2173,14334,27.0811,26892,50.8067,885,0.0167,759,0.0143,249174,51363,10011,19.4907,3668,9181,7664,7250,10151,29452,2914,2013,3.9192,13438,26.1628,15986,31.1236,21001,40.8874,23425,45.6068,0.1142,44.6416,61.8626,248.7815,18.3000,76,8,73,8.3000,44.5000,4.7000,22.9000,158.1000,16.8000,72.1000,5.3000,4.9000,36.9000,13.1000,39.1000,374.1000,1,72.9000,101.8000,16.8000
15,PORTAGE PARK,64124,64427,0.2357,31603,49.0524,32824,50.9476,3994,6.1993,13902,21.5779,50525,78.4221,48148,74.7326,7033,10.9162,44892,69.6789,1407,2.1839,417,0.6472,3585,5.5644,222,0.3446,15923,24.7148,26980,41.8769,1243,0.0193,875,0.0136,337378,64356,9390,14.5907,3128,8019,14004,12041,10343,37415,4439,2586,4.0183,12038,18.7053,15517,24.1112,19456,30.2318,21119,32.8159,0.1399,36.8350,61.8467,252.7745,14.2000,66,6,79,8.7000,41.7000,3.3000,23.3000,168.7000,15.9000,48.2000,4.7000,4.7000,44.9000,14.8000,37.9000,287.3000,0,87.7000,84.9000,4.0000
16,IRVING PARK,53359,56490,2.8503,27884,49.3609,28606,50.6391,4427,7.8368,12657,22.4057,43833,77.5943,41952,74.2645,4935,8.7361,42789,75.7461,2490,4.4079,357,0.6320,5069,8.9733,86,0.1522,7442,13.1740,26558,47.0136,1190,0.0211,825,0.0146,416914,56074,7798,13.9066,2095,8186,8778,8386,13341,32010,2922,2479,4.4209,12321,21.9728,16046,28.6158,19836,35.3747,21273,37.9374,0.1189,35.5197,62.3822,247.6547,15.8000,67,7,79,10.2000,37.0000,4.1000,29.9000,169.4000,19.2000,60.2000,5.7000,5.3000,41.3000,17.9000,42.0000,333.5000,0,159.6000,74.5000,9.3000
17,DUNNING,41932,43053,1.3191,21397,49.6992,21656,50.3008,2519,5.8509,8402,19.5155,34651,80.4845,33216,77.1514,6172,14.3358,37674,87.5061,790,1.8349,161,0.3740,1979,4.5967,39,0.0906,2988,6.9403,11255,26.1422,507,0.0118,410,0.0095,286138,42926,4716,10.9863,1242,4454,10508,8940,7062,24081,2253,1043,2.4298,5936,13.8284,8298,19.3309,11040,25.7187,12173,28.3581,0.1657,34.4696,61.6783,232.7033,12.5000,64,6,82,9.9000,19.9000,3.7000,23.7000,191.5000,25.9000,42.5000,5.2000,4.9000,53.9000,24.4000,32.0000,233.9000,0,0.0000,70.1000,2.4000
18,MONTCLARE,13426,12840,-2.2310,6291,48.9953,6549,51.0047,596,4.6417,3257,25.3660,9583,74.6340,9137,71.1604,1428,11.1215,8280,64.4860,655,5.1012,59,0.4595,752,5.8567,15,0.1168,3274,25.4984,7481,58.2632,200,0.0156,151,0.0118,40091,12660,1855,14.6524,556,1984,2616,2340,1342,6352,783,437,3.4518,2900,22.9068,3641,28.7599,5356,42.3065,5923,46.7852,-0.0296,41.7249,60.9021,238.8160,17.1000,83,8,77,8.8000,61.5000,8.6000,29.9000,151.0000,15.4000,89.6000,6.5000,4.6000,33.4000,21.9000,40.3000,315.5000,0,0.0000,0.0000,3.0000
19,BELMONT CRAGIN,78743,79069,0.2066,39139,49.4998,39930,50.5002,6444,8.1498,23366,29.5514,55703,70.4486,51906,65.6465,6162,7.7932,35281,44.6205,3644,4.6086,365,0.4616,2008,2.5396,343,0.4338,39777,50.3067,62790,79.4117,1394,0.0176,1530,0.0194,274709,78675,16567,21.0575,7256,18210,14015,9582,5136,39691,5652,4198,5.3359,21651,27.5195,29258,37.1884,38140,48.4779,41292,52.4843,-0.1659,48.8224,58.3239,231.5274,20.0000,88,6,74,7.6000,68.2000,7.0000,14.4000,152.6000,17.7000,58.6000,5.5000,5.6000,37.8000,27.3000,38.2000,421.5000,0,95.9000,140.9000,9.4000
2,WEST RIDGE,71942,73019,0.7430,36386,49.8309,36633,50.1691,5880,8.0527,18748,25.6755,54271,74.3245,51839,70.9939,9231,12.6419,43396,59.4311,8666,11.8681,717,0.9819,18203,24.9291,422,0.5779,4144,5.6752,13088,17.9241,1036,0.0142,811,0.0111,346520,71941,13757,19.1226,5136,7958,9873,10581,18904,35666,3555,3691,5.1306,18338,25.4903,23159,32.1917,28386,39.4573,31445,43.7094,0.1491,39.5910,61.5490,250.7626,17.3000,83,8,71,8.3000,29.9000,5.8000,20.2000,155.9000,17.3000,60.5000,3.7000,5.1000,36.0000,14.2000,34.7000,331.4000,1,141.0000,205.7000,8.9000
20,HERMOSA,25010,24836,-0.3491,12582,50.6603,12254,49.3397,2160,8.6971,7010,28.2252,17826,71.7748,16638,66.9915,1945,7.8314,10113,40.7191,701,2.8225,188,0.7570,238,0.9583,42,0.1691,14168,57.0462,22174,89.2817,438,0.0176,445,0.0179,88006,24758,5453,22.0252,2154,6187,4155,3092,1457,12987,1605,1029,4.1562,7950,32.1108,9717,39.2479,12723,51.3894,13422,54.2128,-0.1679,48.0835,59.4099,237.6308,20.3000,86,6,77,8.8000,69.7000,12.7000,18.4000,135.2000,15.6000,63.6000,11.8000,9.3000,27.7000,25.6000,27.6000,394.7000,0,154.5000,114.3000,15.8000
21,AVONDALE,39262,39117,-0.1850,19973,51.0596,19144,48.9404,2598,6.6416,8777,22.4378,30340,77.5622,29137,74.4868,3408,8.7123,33437,85.4795,1381,3.5304,428,1.0942,1723,4.4047,0,0.0000,3170,8.1039,23537,60.1708,891,0.0228,594,0.0152,217603,38871,7455,19.1788,2212,6702,7616,4768,6607,21525,1840,1411,3.6300,10688,27.4961,13870,35.6821,17727,45.6047,19427,49.9781,-0.0594,37.6501,58.5927,235.8067,18.5000,77,7,74,7.5000,63.4000,4.7000,16.6000,133.9000,13.4000,52.7000,4.6000,5.7000,32.5000,37.7000,36.0000,373.3000,0,85.3000,92.2000,10.1000
22,LOGAN SQUARE,73595,74055,0.3115,37560,50.7191,36495,49.2809,4771,6.4425,14774,19.9500,59281,80.0500,56893,76.8253,4872,6.5789,62039,83.7742,5366,7.2460,572,0.7724,2831,3.8228,37,0.0500,5356,7.2325,34658,46.8004,2242,0.0303,1109,0.0150,908158,73712,14292,19.3890,4143,7024,10929,9648,23523,44904,3191,3678,4.9897,19449,26.3851,23100,31.3382,28549,38.7305,30593,41.5034,0.0851,32.0246,60.8441,226.5756,18.2000,63,7,78,9.4000,66.1000,8.6000,9.2000,148.7000,13.7000,75.7000,10.2000,4.3000,37.7000,17.5000,31.9000,364.4000,0,209.0000,159.3000,8.4000
23,HUMBOLDT PARK,56323,54515,-1.6312,26042,47.7703,28473,52.2297,4849,8.8948,16941,31.0759,37574,68.9241,34656,63.5715,3936,7.2200,11485,21.0676,24093,44.1952,550,1.0089,357,0.6549,24,0.0440,19191,35.2032,28095,51.5363,1670,0.0306,2658,0.0488,235370,54206,18641,34.3892,8306,9583,10258,7456,3989,22761,3992,4541,8.3773,23041,42.5064,28108,51.8540,32869,60.6372,33987,62.6997,-0.2799,52.9404,54.5712,238.6696,19.2000,80,12,70,11.7000,77.9000,29.0000,26.3000,211.1000,26.6000,94.1000,22.7000,9.8000,48.0000,52.5000,53.5000,447.7000,1,1234.7000,937.5000,9.7000
24,WEST TOWN,81432,84319,1.7418,42983,50.9766,41336,49.0234,5850,6.9379,13603,16.1328,70716,83.8672,68630,81.3933,5004,5.9346,65270,77.4084,7717,9.1521,709,0.8409,4374,5.1874,166,0.1969,9019,10.6963,23730,28.1431,3391,0.0402,1480,0.0176,1383581,83855,13250,15.8011,3234,7520,7610,9499,38029,57751,4326,3555,4.2395,16840,20.0823,20445,24.3814,25223,30.0793,26972,32.1650,0.3728,26.8496,62.3240,240.9074,18.8000,60,9,75,10.8000,49.2000,8.5000,14.5000,139.6000,12.4000,107.0000,6.6000,5.1000,27.4000,16.6000,33.3000,316.6000,0,177.5000,182.8000,3.6000
